scenario_id,observations_hash,delta_localization_error,comparison_localization_error,delta_relative_strength_error,comparison_relative_strength_error,delta_relative_l2,comparison_relative_l2,delta_rmse,comparison_rmse,delta_mae,comparison_mae,delta_runtime_seconds,comparison_runtime_seconds,runtime_ratio
final_blind_v1_001,9931457ff42a49dfdf5fdb2b0a773ce34292b0b78df5611cc0c5ca4fcd192893,-0.0005955923249597,J1_better,-0.0029585641034330992,J1_better,0.005117527318889901,classical_better,0.00027041369336490006,classical_better,0.00022313790845320002,classical_better,31.38930545799667,classical_better,1.575743053227385
final_blind_v1_002,51e5758acd8ece8aae19b247a35b72462c98585e6c855385ccee7afedefa1200,0.004482455719382701,classical_better,0.030583380205381504,classical_better,0.047135428350019506,classical_better,0.0030783594641636,classical_better,0.0009906000700335002,classical_better,17.790467666927725,classical_better,1.2622707554779318
final_blind_v1_003,c7a5c1a2c259723892d25a78f5fb83b5b70d4f4d7eb0651ce51d7d976a2d7755,0.00045447769844209995,classical_better,-0.0084679251113518,J1_better,0.017751451107031403,classical_better,0.0008723967353686,classical_better,0.000441164253731,classical_better,33.78519250004318,classical_better,1.570957869148175
final_blind_v1_004,43bf1a48e0fdb9b763388bfffc7f11041177dadfcb102cca01e5e12a8f080ad8,0.0169371491173516,classical_better,0.046588611527477404,classical_better,0.12015585455408319,classical_better,0.004563027056285,classical_better,0.0015057637390537,classical_better,26.625508123950553,classical_better,1.3962275630580636
final_blind_v1_005,4f65d3ee0a3e3498bf757e0ff29d8030a5360d49664ee751d7cef1d9c501c887,0.0021568209177741,classical_better,0.060150359922939794,classical_better,0.058810143273613905,classical_better,0.0024080178651957,classical_better,0.0009525833881124999,classical_better,33.22862662503029,classical_better,1.5157038860352317
final_blind_v1_006,bfea2f836606009b11f39e2ff9c88fb7cf65a7071c4488db7445e5dfe7b2c645,0.00038713512905020004,classical_better,-0.004969145371500101,J1_better,0.0019571509762347002,classical_better,0.00011586613808649998,classical_better,0.00022480877913520005,classical_better,38.5632657079841,classical_better,1.6036655430168487
final_blind_v1_007,cbbe0687b1c77ea5f30fc68b8027b4a66a3e590404ce85bd0bc032d2be492258,-0.0008162732815971,J1_better,-0.003954751630027,J1_better,-0.0007213070955307994,J1_better,-3.419745454800001e-05,J1_better,0.00011457542757799998,classical_better,28.31619099999081,classical_better,1.4395519012344646
final_blind_v1_008,73262090b4e3431c28ff9aca95e609bd29b9f64c703e74a61faa428727f23baa,0.0781172617092099,classical_better,0.3392900499617448,classical_better,0.48671837788635003,classical_better,0.0221991228888267,classical_better,0.007141154323938401,classical_better,26.526053707988467,classical_better,1.3838140677366382
final_blind_v1_009,6f391ca04130baa098349b3d32cfe4eb3ac4c4d5c24beee8c619c75852222528,0.0083884656279333,classical_better,0.1317537389096352,classical_better,0.1299602673952688,classical_better,0.0062281819611690005,classical_better,0.0019860615065424,classical_better,30.39569733297685,classical_better,1.4738750425492781
final_blind_v1_010,2bec3e23d15772c67759a075907c4e2488e0d11af918117a2d4fd0d2371c1ed4,0.0286882327194471,classical_better,0.0975601827768889,classical_better,0.21075220079890727,classical_better,0.008245801572721801,classical_better,0.0026040341868041003,classical_better,32.47065937501611,classical_better,1.5033091588756442
final_blind_v1_011,5273c27f5d895fe43c32a859d8651aa3996446983e166a42606eb7a2134dc9cc,0.0003134331327252,classical_better,-0.0031318115938574996,J1_better,0.0020438157674098,classical_better,9.385487479580002e-05,classical_better,0.00018422711210769996,classical_better,26.008660333987777,classical_better,1.3863396266565045
final_blind_v1_012,d5aafbfae7c3d90eee9adf5ba51c448a7d7727a80c3b8a9a0b04d93be0c687c6,0.0230871350195713,classical_better,0.2893289066158535,classical_better,0.3039842477429453,classical_better,0.0137635103454997,classical_better,0.0040428155770099,classical_better,17.326433707959964,classical_better,1.227262018769442
final_blind_v1_013,567eb6acd44ff460da2d1b6780f9a64a6b8cee6beb41d11f586110e933efa1a5,-0.0006707507833504,J1_better,-0.0055318864283286995,J1_better,0.0006113027140551997,classical_better,2.5850973232400003e-05,classical_better,0.0001356910794879,classical_better,37.75257691805018,classical_better,1.6699578141380271
final_blind_v1_014,40ac96a299462235403696bd9ee68f2023c85006292d7e1355764aa67a8f4a62,0.0003776040104041,classical_better,0.0226019594930476,classical_better,0.0195259203117947,classical_better,0.0007574937292285,classical_better,0.0003641097423645,classical_better,39.63749229197856,classical_better,1.7199998806943075
final_blind_v1_015,87d3efd4296c5d8532fb5fc0424f613d84aa32b23548f30fb9e6d8da4e8f8f89,0.0021779783532908,classical_better,-0.0141112680657853,J1_better,0.0125045251611441,classical_better,0.0006903358163915,classical_better,0.00036116242487240006,classical_better,14.92277262499556,classical_better,1.1987087801560592
final_blind_v1_016,751f342bea069a9218eb48183fb4f64b2d05aa04e25ca7b28e670b4ea06c7462,0.0216010045518985,classical_better,0.2617307737146768,classical_better,0.2714687389873866,classical_better,0.014643983850524102,classical_better,0.0043121329513715,classical_better,21.615075166977476,classical_better,1.315165250260499
final_blind_v1_017,73fad1626c5e65399004aaf29bf355b9c63b97e52f6391f3f24d78ca3771d593,0.0256329493670777,classical_better,0.2912069950573588,classical_better,0.30726928679513643,classical_better,0.0187314415659803,classical_better,0.0056304793701791,classical_better,22.83683116704924,classical_better,1.3345459223376157
final_blind_v1_018,28c7393bbea48e59b06ef15c5032b9b7521d2a943a1d6dc66b0787c11ec28fe4,-0.0007837165034654999,J1_better,-0.0072241238534217,J1_better,0.0040962681904178,classical_better,0.00023366132703419998,classical_better,0.0002364362500583,classical_better,30.679611415951513,classical_better,1.5046995614695458
final_blind_v1_019,5a610c0ffe8229368b3489de499cc0f1a797a4f83630ed8dd2f9a0fcf7223982,0.0001236524413451999,classical_better,-0.0030089828161509995,J1_better,0.0199869555582291,classical_better,0.0008080705903128001,classical_better,0.0003323374432011,classical_better,35.48445945803541,classical_better,1.6149122274428072
final_blind_v1_020,a55507a43cef274e4bc51fbc296a628f58679fe24385178cda306933fe603222,0.0028500437138485,classical_better,0.046547310654788,classical_better,0.035845317086266607,classical_better,0.0017509057289369,classical_better,0.0006729880740769,classical_better,28.788493290950996,classical_better,1.4393158644614588
