method,metric,count,mean,median,sample_sd,q25,q75,q90,worst
B_revised,localization_error,30,0.019852838167144518,0.009185503666065398,0.02443068435191664,0.00098540935465825,0.034711495440996824,0.05634218057626297,0.0824754622100028
B_revised,relative_strength_error,30,0.16193283540019732,0.0931929973254255,0.18908257368428422,0.00806842440038025,0.2507339225261339,0.4166942433976276,0.6402871794719126
B_revised,relative_l2,30,0.19458200919880025,0.1104754357748777,0.2080291341463888,0.0207549386975988,0.3658650997800322,0.5067513245684302,0.6936213951656327
B_revised,rmse,30,0.0098416300903299,0.006258616342235001,0.01083717523161756,0.001083564693528175,0.0183520418536548,0.02441181115207254,0.0407850415035693
B_revised,mae,30,0.0030684774003155706,0.0019763371597697503,0.003111890713410086,0.0005605513135034001,0.0056922458596654745,0.00742445109924101,0.0115184512149058
B_revised,pde_rmse,30,0.006720685015208243,0.0055622753150687005,0.003650193001083627,0.004458166882424575,0.0066758473177661246,0.011845335746291303,0.0177606665633012
B_revised,runtime_seconds,30,91.30609275829629,91.40806010449887,1.46373765007313,90.43602665576327,92.17721853098192,93.05695569971576,94.08739816700108
J1,localization_error,30,0.017605480410687727,0.0055737151249599,0.023457286431840488,0.0014095072921989499,0.025876835060382176,0.04860689654861708,0.0840810471925793
J1,relative_strength_error,30,0.131006460249583,0.05974894216613495,0.16901847070158907,0.008106838117652676,0.1750671396927314,0.34782891538096844,0.6218276004632433
J1,relative_l2,30,0.16660116306642073,0.0742278589695638,0.19263478980216894,0.023329613495097427,0.2721866016158547,0.4753483588568229,0.697244325245712
J1,rmse,30,0.008398442111462593,0.003882030977777,0.009984590377697654,0.00111482103178225,0.015563961807475374,0.02117235714999369,0.0409980703327122
J1,mae,30,0.0026541376692525865,0.0013702463753865,0.002866914403851681,0.000511296578589775,0.004845451684834725,0.006321784597574761,0.0115597309515148
J1,pde_rmse,30,0.006197455330203564,0.0053607084537626,0.0032870363672372832,0.0042441995606394,0.00669211750932865,0.010084041631826132,0.0160324491845486
J1,runtime_seconds,30,93.40530025006349,93.44785535449046,3.9777055455842554,91.78480540595774,95.62145347923797,97.33671493388245,102.44510583300143
classical,localization_error,30,0.0014384263501016534,0.0011112305935895499,0.0007884517263283567,0.001000861061426525,0.0015415514037639,0.0026869240726413598,0.0036416274578826
classical,relative_strength_error,30,0.014644374499223617,0.0121779372727008,0.009636308026121292,0.009019139550322899,0.016105838288163726,0.03344691844239802,0.035368635467389
classical,relative_l2,30,0.019051151073701207,0.015066547541380499,0.011009050053370245,0.010827378167434926,0.0206956210451376,0.036858045266777224,0.0447401028975238
classical,rmse,30,0.0009647475343372101,0.000814816449545,0.0005986166019931303,0.0004945697622798,0.001159635259985225,0.00199188962760478,0.0024134393770201
classical,mae,30,0.00030667327135688334,0.0002571652667803,0.0001513387637106244,0.00019644013683967502,0.000354375632233775,0.0005185699253993601,0.0007029489425922
classical,pde_rmse,0,,,,,,,
classical,runtime_seconds,30,64.9192758528341,64.57203716647928,6.055052865088047,61.14384014623647,68.15474098949926,74.47198139127576,76.23990054201568
