grid_size,dx,dy,dt,steps,final_time,u,v,D,runtime,CFL_number,empirical_order,Linf_empirical_order,L2_error,Linf_error,relative_L2_error,study_type,reference,reference_grid_size,reference_dt
41,0.025,0.025,0.008,100,0.8,0.35,-0.15,0.005,0.027459000004455447,0.4159999999999999,,,0.0091313992322168,0.018286120732351363,0.022828498080541996,spatial_advection_diffusion,analytic sine,,
81,0.0125,0.0125,0.002,400,0.8,0.35,-0.15,0.005,0.03510870801983401,0.33599999999999997,0.9791177182024037,0.9789493724193301,0.004632266409387183,0.009277446476510298,0.011580666023467955,spatial_advection_diffusion,analytic sine,,
161,0.00625,0.00625,0.0005,1600,0.8,0.35,-0.15,0.005,0.3120314169791527,0.29599999999999993,0.9916096400876249,0.9915024655465299,0.0023296425117060792,0.004666126136065207,0.005824106279265196,spatial_advection_diffusion,analytic sine,,
321,0.003125,0.003125,0.000125,6400,0.8,0.35,-0.15,0.005,5.671612209000159,0.27599999999999997,0.9963163512503078,0.9964082060798439,0.001167799206680693,0.0023388787959720547,0.0029194980167017315,spatial_advection_diffusion,analytic sine,,
41,0.025,0.025,0.008,100,0.8,0.0,0.0,0.005,0.006553957995492965,0.25599999999999995,,,7.831375913208036e-06,1.5662751826295285e-05,1.9578439783020084e-05,spatial_diffusion,analytic sine,,
81,0.0125,0.0125,0.002,400,0.8,0.0,0.0,0.005,0.03915254201274365,0.25599999999999995,1.989460120354735,1.9894601203747702,1.972199750830815e-06,3.944399501576434e-06,4.930499377077035e-06,spatial_diffusion,analytic sine,,
161,0.00625,0.00625,0.0005,1600,0.8,0.0,0.0,0.005,0.3319180409889668,0.25599999999999995,1.997377892076459,1.9973778920514302,4.939468741270614e-07,9.87893748249924e-07,1.2348671853176531e-06,spatial_diffusion,analytic sine,,
321,0.003125,0.003125,0.000125,6400,0.8,0.0,0.0,0.005,5.616590124962386,0.25599999999999995,1.9993460146162318,1.9993460142446309,1.2354270875404393e-07,2.470854175706805e-07,3.0885677188510974e-07,spatial_diffusion,analytic sine,,
41,0.025,0.025,0.004,200,0.8,0.35,-0.15,0.005,0.011357084033079445,0.20799999999999996,,,0.009166915460327545,0.0183574290193661,0.022917288650818858,spatial_dt_half,analytic sine,,
81,0.0125,0.0125,0.001,800,0.8,0.35,-0.15,0.005,0.07496216596337035,0.16799999999999998,0.983309101063524,0.9831631824333706,0.0046367928250091815,0.009286461212067776,0.01159198206252295,spatial_dt_half,analytic sine,,
161,0.00625,0.00625,0.00025,3200,0.8,0.35,-0.15,0.005,0.679343042022083,0.14799999999999996,0.9926644189832924,0.9925540472474975,0.0023302146376108345,0.0046672569228892735,0.0058255365940270845,spatial_dt_half,analytic sine,,
321,0.003125,0.003125,6.25e-05,12800,0.8,0.35,-0.15,0.005,11.3930264589726,0.13799999999999998,0.9965817389157422,0.99666971654771,0.0011678711481481513,0.0023390215770201506,0.002919677870370377,spatial_dt_half,analytic sine,,
81,0.0125,0.0125,0.004,200,0.8,0.0,0.0,0.005,0.02000075002433732,0.5119999999999999,,,7.890465505117406e-05,0.0001489039041337875,0.0019315060429997439,temporal,analytic polynomial,,
81,0.0125,0.0125,0.002,400,0.8,0.0,0.0,0.005,0.03537266602506861,0.25599999999999995,0.9996573579464844,0.9996341322965164,3.946169862033553e-05,7.447083548869915e-05,0.0009659824164085059,temporal,analytic polynomial,,
81,0.0125,0.0125,0.001,800,0.8,0.0,0.0,0.005,0.07557670801179484,0.12799999999999997,0.9998287660144501,0.9998171541879314,1.9733191310646712e-05,3.724013722522512e-05,0.00048304853800405827,temporal,analytic polynomial,,
81,0.0125,0.0125,0.0005,1600,0.8,0.0,0.0,0.005,0.16533633298240602,0.06399999999999999,0.9999144049770236,0.9999085993117048,9.867181057304634e-06,1.8621248308217653e-05,0.0002415385990496504,temporal,analytic polynomial,,
41,0.025,0.025,0.008,100,0.8,0.35,-0.15,0.005,0.006780249997973442,0.4159999999999999,,,0.0034033974873771277,0.01997787650891064,0.04526952460420103,gaussian_grid_difference,81x81 numerical,81,
81,0.0125,0.0125,0.002,400,0.8,0.35,-0.15,0.005,0.023361042025499046,0.33599999999999997,0.7890629297020775,0.7499239832592002,0.0019696137325541504,0.011879542369497786,0.025780596810273,gaussian_grid_difference,161x161 numerical,161,
161,0.00625,0.00625,0.0005,1600,0.8,0.35,-0.15,0.005,0.22475329198641703,0.29599999999999993,0.8840996153522916,0.864605234448294,0.0010671870835263783,0.006524205031616159,0.013847825223663426,gaussian_grid_difference,321x321 numerical,321,
321,0.003125,0.003125,0.000125,6400,0.8,0.35,-0.15,0.005,3.591676208015997,0.27599999999999997,0.9388742044004574,0.9275331221485537,0.0005566872345007303,0.003430143657857432,0.007191040203462088,gaussian_grid_difference,641x641 numerical,641,
641,0.0015625,0.0015625,3.125e-05,25600,0.8,0.35,-0.15,0.005,116.30597579100868,0.26599999999999996,,,,,,gaussian_finest,none; not exact,,
81,0.0125,0.0125,0.001,800,0.8,0.35,-0.15,0.005,0.05311750003602356,0.16799999999999998,,,7.407679759049717e-05,0.00031416384823229615,0.000985315828809276,gaussian_time_difference,"same grid, original dt",,0.002
641,0.0015625,0.0015625,1.5625e-05,51200,0.8,0.35,-0.15,0.005,253.9331736669992,0.13299999999999998,,,1.3266102063086149e-06,5.897273851196427e-06,1.7136565627281032e-05,gaussian_time_difference,"same grid, original dt",,3.125e-05
