control,metric,mean,median,mean_bootstrap95,J1_better,control_better,tied
B_revised,localization_error,-0.0022473577564567936,-0.00022931862990044848,"[-0.0039810172032388675, -0.0007658160364305224]",18,12,0
B_revised,relative_strength_error,-0.03092637515061428,-0.0086244512129935,"[-0.050928213009996136, -0.013017813465938008]",21,9,0
B_revised,relative_l2,-0.027980846132379444,-0.0052697807695492,"[-0.04651489725319828, -0.01199245595224806]",21,9,0
B_revised,rmse,-0.0014431879788673067,-0.0002681467197268501,"[-0.002397434792157408, -0.0006276779451999221]",21,9,0
B_revised,mae,-0.0004143397310629833,-0.00014348718198274976,"[-0.0006953324908731604, -0.0001798031460731625]",22,8,0
B_revised,pde_rmse,-0.0005232296850046801,-0.00035488819447975026,"[-0.0012410169291591374, 1.8096408927158192e-05]",20,10,0
B_revised,runtime_seconds,2.099207491767203,2.665515688015141,"[0.6362058503107958, 3.5839332525338956]",8,22,0
classical,localization_error,0.01616705406058607,0.0036662497166156,"[0.008622935335774247, 0.024948868328585904]",6,24,0
classical,relative_strength_error,0.11636208575035942,0.046567961091132704,"[0.06221786708608094, 0.17873471462062482]",11,19,0
classical,relative_l2,0.14755001199271953,0.052972785811816706,"[0.08557511826485577, 0.21751117224063993]",2,28,0
classical,rmse,0.007433694577125383,0.00274318866467965,"[0.004289230583591085, 0.011173880847613796]",2,28,0
classical,mae,0.0023474643978957034,0.000971591729073,"[0.0014283060384712065, 0.003422205153214932]",0,30,0
classical,runtime_seconds,28.48602439722939,30.21478335399297,"[25.90037256666149, 31.044692226751792]",0,30,0
